#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:denisovan" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:denisovan" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:denisovan">
#                <taxonset id="TaxonSet.denisovan" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:denisovan" name="distribution" x="@birthRate.t:denisovan">
#            <Uniform id="Uniform.1" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="ClockPrior.c:denisovan" name="distribution">
#            <parameter id="clockRate.c:denisovan" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" lower="1.0E-6" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:denisovan" name="distribution">
#            <parameter id="gammaShape.s:denisovan" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:denisovan" name="distribution">
#            <parameter id="kappa.s:denisovan" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Hominini.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:denisovan">
#            <taxonset id="Hominini" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="CommonChimpanzee_NC001643" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Denisovan_FN673705" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ModernHuman_HM171295" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Neanderthal_FM865409" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PygmyChimpanzee_NC001644" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">6.5</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">0.2551</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@denisovan" id="treeLikelihood.denisovan" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:denisovan">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:denisovan" shape="@gammaShape.s:denisovan" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:denisovan" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:denisovan" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:denisovan" kappa="@kappa.s:denisovan" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:denisovan" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:denisovan" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:denisovan" id="StrictClock.c:denisovan" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.denisovan	TreeHeight	YuleModel	birthRate	kappa	gammaShape	monophyletic(Hominini)	logP(mrca(Hominini))	mrca.age(Hominini)	clockRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-51305.85570567852	-51186.82231111062	-119.03339456789766	-51186.82231111062	2.7977277251123986	-6.696102048480309	1.0	2.0	1.0	0	-104.86676329945547	2.7977277251123986	1.0	0.25	0.25	0.25	0.25
1000	-33789.803677194046	-33509.8883850225	-279.915292171541	-33509.8883850225	1.093994597162236	-7.644641100840531	3.8676264697246054	3.5613054288052073	1.0	1	-264.22992264871414	0.6307362386505997	0.09851665898133118	0.25280218848588776	0.25	0.24252171125115685	0.2546761002629554
2000	-33519.7379111698	-33480.659876505604	-39.07803466419654	-33480.659876505604	9.99391999648368	-22.88160607751154	0.51488523833162	3.5613054288052073	0.9378195261526188	1	-8.217880638546008	5.438033574758094	0.010948139907661353	0.2548536148022318	0.25	0.24047028493481282	0.2546761002629554
3000	-32975.54319460089	-32946.75887915975	-28.784315441136375	-32946.75887915975	12.617376839163041	-19.180177916361842	0.20979709109300707	8.945908478193278	0.9378195261526188	1	-0.2738069130379117	6.80632571870032	0.008814799495434678	0.2548536148022318	0.25	0.24047028493481282	0.2546761002629554
4000	-32902.438984540015	-32874.13757317406	-28.301411365952344	-32874.13757317406	12.833372928329906	-18.404583186815522	0.11317480343958997	10.946843556233407	0.9378195261526188	0	-0.1977169409290982	6.789710514765277	0.008696386984159279	0.2548536148022318	0.2528566336961647	0.23761365123864814	0.2546761002629554
5000	-32825.629406918975	-32797.3939271814	-28.23547973757029	-32797.3939271814	11.903464346721714	-17.75582914948809	0.1469840101860621	11.48410037050606	0.9378195261526188	1	-0.6891760284303429	6.115426762044984	0.009938254936324034	0.2632894827653085	0.2528566336961647	0.22917778327557145	0.2546761002629554
6000	-32822.49043472798	-32794.45380645965	-28.036628268329288	-32794.45380645965	12.369931837306488	-18.682658577167018	0.20371268394141526	11.48410037050606	0.9378195261526188	1	0.43650486848959047	6.4627584540913725	0.009422756124682186	0.2632894827653085	0.2528566336961647	0.22917778327557145	0.2546761002629554
7000	-32826.013006006986	-32794.47565712686	-31.53734888012809	-32794.47565712686	11.957193147712722	-21.998353902857414	0.37409821793539416	11.48410037050606	0.9378195261526188	1	0.2514795823811817	6.3404119444327	0.00971439003647974	0.26463311088318453	0.2528566336961647	0.22917778327557145	0.25333247214507937
8000	-32798.04133713058	-32770.36376192608	-27.677575204502133	-32770.36376192608	11.9526121755579	-17.883536968044282	0.15864846575087138	11.48410037050606	0.8196051387189518	1	-0.12177806423966042	6.227881305001107	0.010080297878826487	0.26463311088318453	0.2528566336961647	0.22917778327557145	0.25333247214507937
9000	-32736.49764661597	-32708.681892051856	-27.81575456411378	-32708.681892051856	11.815432071124162	-17.809885844348823	0.12227357450374357	12.523899563075856	0.8196051387189518	1	-0.16459584538359995	6.217827349171288	0.010278497274444619	0.27165086235294444	0.2528566336961647	0.22234564376625326	0.2531468601846376
10000	-32645.92676252285	-32617.975341199595	-27.951421323254348	-32617.975341199595	12.449940668622636	-18.05024892414621	0.1361013909853816	15.6763146588175	0.8196051387189518	1	0.4002455105288489	6.4218580687200655	0.009639973809983833	0.27875130833356226	0.25609256711898937	0.21200926436281076	0.2531468601846376
11000	-32577.185449040313	-32548.814615141266	-28.370833899048552	-32548.814615141266	12.722328405746712	-18.62738051326297	0.19999843487557975	15.6763146588175	0.5768724446652922	1	0.31523182979774234	6.368962357702275	0.010097812454510559	0.27875130833356226	0.25609256711898937	0.21200926436281076	0.2531468601846376
12000	-32557.481632477222	-32529.243118399427	-28.238514077795227	-32529.243118399427	12.647072022771209	-18.521516907360855	0.08803780649135169	15.6763146588175	0.5768724446652922	1	0.3416880451489516	6.3828354412399735	0.010162348760726182	0.27875130833356226	0.26330725323316906	0.21200926436281076	0.24593217407045795
